train_id,latitude,longitude,delay_minutes,timestamp
37202,22.9226,88.3782,0,1773076382.5000892
13046,24.51169,86.69697,0,1773076383.1348982
37288,22.9226,88.3782,0,1773076383.667513
37224,22.9226,88.3782,0,1773076385.4166584
37830,23.24976,87.87004,0,1773076386.0534997
13428,25.2407,87.6348,0,1773076386.6738694
37614,23.0707,88.2695,0,1773076387.2510986
37242,22.9226,88.3782,0,1773076387.8335586
37919,22.58382,88.34221,0,1773076388.3914258
37255,22.58382,88.34221,0,1773076388.9613326
37250,22.9226,88.3782,0,1773076390.140069
15644,26.157,91.6935,0,1773076390.747779
37828,23.24976,87.87004,0,1773076391.3145628
37227,22.58382,88.34221,0,1773076391.8919194
37844,23.24976,87.87004,0,1773076392.498645
37237,22.58382,88.34221,0,1773076393.0691726
37235,22.58382,88.34221,0,1773076393.662221
37221,22.58382,88.34221,0,1773076394.2534957
37257,22.58382,88.34221,0,1773076394.9331944
37655,22.58382,88.34221,0,1773076395.5072393
13031,25.290007,87.41739,-16,1773076396.0810587
37262,22.9226,88.3782,0,1773076396.659554
37256,22.9226,88.3782,0,1773076397.2825944
37832,23.24976,87.87004,0,1773076397.8578827
13465,22.58382,88.34221,0,1773076398.8931851
37238,22.9226,88.3782,0,1773076399.4719162
37276,22.9226,88.3782,0,1773076400.0587242
37850,23.24976,87.87004,0,1773076400.6656957
37823,22.58382,88.34221,0,1773076401.2734692
37928,22.597067,88.33272,6,1773076401.799997
53001,22.58382,88.34221,0,1773076402.3624334
37852,23.24976,87.87004,0,1773076402.9590518
37268,22.9226,88.3782,0,1773076403.5651977
15959,26.607847,94.21872,-44,1773076404.134149
37233,22.58382,88.34221,0,1773076404.718047
53002,23.947678,88.185936,-15,1773076405.236489
37825,22.58382,88.34221,0,1773076406.0754905
37829,22.58382,88.34221,0,1773076406.660781
37226,22.9226,88.3782,0,1773076407.240373
37822,23.24976,87.87004,0,1773076407.8459234
37815,22.58382,88.34221,0,1773076408.4177094
37272,22.9226,88.3782,0,1773076409.0141637
37228,22.9226,88.3782,0,1773076409.6186838
37812,23.24976,87.87004,0,1773076410.3150172
37267,22.58382,88.34221,0,1773076410.919793
